data_type,lat,lon,event_date,details
disaster,29.3,-86.3,2026-07-21 15:00:00+00:00,Tropical Storm Bertha (Severe Storms)
disaster,29.4,-87.2,2026-07-21 21:00:00+00:00,Tropical Storm Bertha (Severe Storms)
disaster,29.4,-87.7,2026-07-22 03:00:00+00:00,Tropical Storm Bertha (Severe Storms)
disaster,29.4,-88.3,2026-07-22 09:00:00+00:00,Tropical Storm Bertha (Severe Storms)
disaster,29.8,-88.6,2026-07-22 15:00:00+00:00,Tropical Storm Bertha (Severe Storms)
disaster,29.8,-89.8,2026-07-22 21:00:00+00:00,Tropical Storm Bertha (Severe Storms)
disaster,29.4,-91.1,2026-07-23 03:00:00+00:00,Tropical Storm Bertha (Severe Storms)
disaster,29.0,-92.2,2026-07-23 09:00:00+00:00,Tropical Storm Bertha (Severe Storms)
disaster,29.6,-93.2,2026-07-23 15:00:00+00:00,Tropical Storm Bertha (Severe Storms)
disaster,29.8,-94.7,2026-07-23 21:00:00+00:00,Tropical Storm Bertha (Severe Storms)
disaster,30.0,-96.0,2026-07-24 03:00:00+00:00,Tropical Storm Bertha (Severe Storms)
disaster,36.916815,-118.241189,2026-07-20 19:34:00+00:00,"Wildfire ROCK, Inyo, California (Wildfires)"
disaster,-7.6138408187919,25.180342117202,2026-07-20 19:00:00+00:00,Wildfire in The Democratic Republic of Congo 1029602 (Wildfires)
disaster,65.462291391112,-123.63642057151,2026-07-20 19:00:00+00:00,Wildfire in Canada 1029603 (Wildfires)
disaster,34.630531205298,-1.4525255850291,2026-07-20 19:00:00+00:00,Wildfire in Algeria 1029618 (Wildfires)
disaster,-13.116043848273,141.73429641222,2026-07-20 19:00:00+00:00,Wildfire in Australia 1029630 (Wildfires)
disaster,48.170759103076,-119.25329065534,2026-07-20 19:00:00+00:00,Wildfire in United States 1029647 (Wildfires)
disaster,-12.651264337744,21.703247509726,2026-07-20 19:00:00+00:00,Wildfire in Angola 1029648 (Wildfires)
disaster,-9.8210181053961,21.964185211892,2026-07-20 19:00:00+00:00,"Wildfire in Angola, The Democratic Republic of Congo 1029646 (Wildfires)"
disaster,36.276960015533,8.5339704792539,2026-07-20 19:00:00+00:00,Wildfire in Tunisia 1029649 (Wildfires)
disaster,51.06205150927,-122.81896674566,2026-07-20 19:00:00+00:00,Wildfire in Canada 1029650 (Wildfires)
disaster,-8.4744352304066,30.047106875342,2026-07-20 19:00:00+00:00,Wildfire in Zambia 1029651 (Wildfires)
disaster,-8.988722533463,22.50080552589,2026-07-20 19:00:00+00:00,Wildfire in The Democratic Republic of Congo 1029677 (Wildfires)
disaster,-25.16211992221,149.94342825023,2026-07-20 19:00:00+00:00,Wildfire in Australia 1029678 (Wildfires)
disaster,-9.217615151219,18.961540029482,2026-07-20 19:00:00+00:00,Wildfire in Angola 1029692 (Wildfires)
disaster,-15.131595558832,21.8178702016,2026-07-20 19:00:00+00:00,Wildfire in Angola 1029693 (Wildfires)
disaster,-2.2420811015138,35.243872278667,2026-07-20 19:00:00+00:00,Wildfire in Tanzania 1029694 (Wildfires)
disaster,-14.365728772772,22.346438135182,2026-07-20 19:00:00+00:00,Wildfire in Zambia 1029695 (Wildfires)
disaster,-9.176763504877,19.957559549584,2026-07-20 19:00:00+00:00,Wildfire in Angola 1029731 (Wildfires)
disaster,-10.114057568069,15.303596764664,2026-07-20 19:00:00+00:00,Wildfire in Angola 1029718 (Wildfires)
disaster,-13.594640999169,133.63401263875,2026-07-20 19:00:00+00:00,Wildfire in Australia 1029719 (Wildfires)
disaster,43.525505344835,6.0950796181028,2026-07-20 19:00:00+00:00,Wildfire in France 1029690 (Wildfires)
disaster,-10.076952426464,17.277443952049,2026-07-20 19:00:00+00:00,Wildfire in Angola 1029691 (Wildfires)
disaster,40.681667,-107.671833,2026-07-19 21:36:00+00:00,"Wildfire Big Gulch, Moffat, Colorado (Wildfires)"
disaster,-8.7361621878621,24.598765796499,2026-07-19 19:00:00+00:00,Wildfire in The Democratic Republic of Congo 1029514 (Wildfires)
disaster,46.169160271516,80.535281016072,2026-07-19 19:00:00+00:00,Wildfire in Kazakhstan 1029515 (Wildfires)
disaster,-10.710160976875,-50.337455570201,2026-07-19 19:00:00+00:00,Wildfire in Brazil 1029516 (Wildfires)
disaster,-17.653829119552,138.65175212858,2026-07-19 19:00:00+00:00,Wildfire in Australia 1029517 (Wildfires)
disaster,-13.118041681163,135.73285376715,2026-07-19 19:00:00+00:00,Wildfire in Australia 1029518 (Wildfires)
disaster,-10.583055714637,22.247110772701,2026-07-19 19:00:00+00:00,"Wildfire in Angola, The Democratic Republic of Congo 1029604 (Wildfires)"
