event_id,disaster_title,category,event_date,lon,lat,source_url,primary_category,data_type
EONET_21644,Wildfire in Australia 1029735,Wildfires,2026-07-23 19:00:00+00:00,131.87557092151,-12.986975916335,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029735,Wildfires,disaster
EONET_21645,Wildfire in Bolivia 1029736,Wildfires,2026-07-23 19:00:00+00:00,-59.529968558131,-17.410460118973,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029736,Wildfires,disaster
EONET_21646,Wildfire in Australia 1029737,Wildfires,2026-07-23 19:00:00+00:00,126.91745554314,-21.704353165514,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029737,Wildfires,disaster
EONET_21647,Wildfire in Botswana 1029681,Wildfires,2026-07-23 19:00:00+00:00,24.165918096977,-23.396450306431,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029681,Wildfires,disaster
EONET_21600,Typhoon Noul,Severe Storms,2026-07-23 18:00:00+00:00,125.0,18.1,https://www.metoc.navy.mil/jtwc/products/wp1126.tcw,Severe Storms,disaster
EONET_21600,Typhoon Noul,Severe Storms,2026-07-24 00:00:00+00:00,123.6,18.4,https://www.metoc.navy.mil/jtwc/products/wp1126.tcw,Severe Storms,disaster
EONET_21600,Typhoon Noul,Severe Storms,2026-07-24 06:00:00+00:00,121.8,18.9,https://www.metoc.navy.mil/jtwc/products/wp1126.tcw,Severe Storms,disaster
EONET_21600,Typhoon Noul,Severe Storms,2026-07-24 12:00:00+00:00,120.4,19.7,https://www.metoc.navy.mil/jtwc/products/wp1126.tcw,Severe Storms,disaster
EONET_21600,Typhoon Noul,Severe Storms,2026-07-24 18:00:00+00:00,119.3,20.0,https://www.metoc.navy.mil/jtwc/products/wp1126.tcw,Severe Storms,disaster
EONET_21600,Typhoon Noul,Severe Storms,2026-07-25 00:00:00+00:00,118.3,20.8,https://www.metoc.navy.mil/jtwc/products/wp1126.tcw,Severe Storms,disaster
EONET_21600,Typhoon Noul,Severe Storms,2026-07-25 06:00:00+00:00,116.6,21.3,https://www.metoc.navy.mil/jtwc/products/wp1126.tcw,Severe Storms,disaster
EONET_21600,Typhoon Noul,Severe Storms,2026-07-25 12:00:00+00:00,115.9,21.8,https://www.metoc.navy.mil/jtwc/products/wp1126.tcw,Severe Storms,disaster
EONET_21600,Typhoon Noul,Severe Storms,2026-07-25 18:00:00+00:00,115.1,22.4,https://www.metoc.navy.mil/jtwc/products/wp1126.tcw,Severe Storms,disaster
EONET_21584,"Wildfire 0579 TEN MILE, Jefferson, Oregon",Wildfires,2026-07-23 11:55:00+00:00,-121.014327,44.796442,https://irwin.doi.gov/observer/incidents/2026-ORPRD-000579,Wildfires,disaster
EONET_21576,"Wildfire RAILROAD, Grant, Washington",Wildfires,2026-07-23 10:05:00+00:00,-119.939349,46.839052,https://irwin.doi.gov/observer/incidents/2026-WAWFS-260500,Wildfires,disaster
EONET_21577,"Wildfire Gypsum Creek, King, Texas",Wildfires,2026-07-22 19:04:00+00:00,-100.0410599,33.46780108,https://irwin.doi.gov/observer/incidents/2026-TXTXS-266131,Wildfires,disaster
EONET_21575,"Wildfire West Blue Crab, Cameron, Louisiana",Wildfires,2026-07-22 19:02:00+00:00,-93.42765,29.880643,https://irwin.doi.gov/observer/incidents/2026-LASBR-000235,Wildfires,disaster
EONET_21601,Wildfire in Australia 1029639,Wildfires,2026-07-22 19:00:00+00:00,126.6599721421,-21.480251727498,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029639,Wildfires,disaster
EONET_21602,Wildfire in Brazil 1029674,Wildfires,2026-07-22 19:00:00+00:00,-50.384826637616,-11.929846977494,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029674,Wildfires,disaster
EONET_21603,Wildfire in The Democratic Republic of Congo 1029640,Wildfires,2026-07-22 19:00:00+00:00,19.773482330466,-6.0579308558385,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029640,Wildfires,disaster
EONET_21648,Wildfire in Angola 1029684,Wildfires,2026-07-22 19:00:00+00:00,20.32721228615,-8.4540013369704,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029684,Wildfires,disaster
EONET_21649,Wildfire in Zambia 1029685,Wildfires,2026-07-22 19:00:00+00:00,22.521471305633,-14.329728172755,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029685,Wildfires,disaster
