event_id,title,category,date,lon,lat,source_url
EONET_21644,Wildfire in Australia 1029735,Wildfires,2026-07-23T19:00:00Z,131.87557092151,-12.986975916335,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029735
EONET_21645,Wildfire in Bolivia 1029736,Wildfires,2026-07-23T19:00:00Z,-59.529968558131,-17.410460118973,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029736
EONET_21646,Wildfire in Australia 1029737,Wildfires,2026-07-23T19:00:00Z,126.91745554314,-21.704353165514,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029737
EONET_21647,Wildfire in Botswana 1029681,Wildfires,2026-07-23T19:00:00Z,24.165918096977,-23.396450306431,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029681
EONET_21600,Typhoon Noul,Severe Storms,2026-07-23T18:00:00Z,125.0,18.1,https://www.metoc.navy.mil/jtwc/products/wp1126.tcw
EONET_21600,Typhoon Noul,Severe Storms,2026-07-24T00:00:00Z,123.6,18.4,https://www.metoc.navy.mil/jtwc/products/wp1126.tcw
EONET_21600,Typhoon Noul,Severe Storms,2026-07-24T06:00:00Z,121.8,18.9,https://www.metoc.navy.mil/jtwc/products/wp1126.tcw
EONET_21600,Typhoon Noul,Severe Storms,2026-07-24T12:00:00Z,120.4,19.7,https://www.metoc.navy.mil/jtwc/products/wp1126.tcw
EONET_21600,Typhoon Noul,Severe Storms,2026-07-24T18:00:00Z,119.3,20.0,https://www.metoc.navy.mil/jtwc/products/wp1126.tcw
EONET_21600,Typhoon Noul,Severe Storms,2026-07-25T00:00:00Z,118.3,20.8,https://www.metoc.navy.mil/jtwc/products/wp1126.tcw
EONET_21600,Typhoon Noul,Severe Storms,2026-07-25T06:00:00Z,116.6,21.3,https://www.metoc.navy.mil/jtwc/products/wp1126.tcw
EONET_21600,Typhoon Noul,Severe Storms,2026-07-25T12:00:00Z,115.9,21.8,https://www.metoc.navy.mil/jtwc/products/wp1126.tcw
EONET_21600,Typhoon Noul,Severe Storms,2026-07-25T18:00:00Z,115.1,22.4,https://www.metoc.navy.mil/jtwc/products/wp1126.tcw
EONET_21584,"Wildfire 0579 TEN MILE, Jefferson, Oregon",Wildfires,2026-07-23T11:55:00Z,-121.014327,44.796442,https://irwin.doi.gov/observer/incidents/2026-ORPRD-000579
EONET_21576,"Wildfire RAILROAD, Grant, Washington",Wildfires,2026-07-23T10:05:00Z,-119.939349,46.839052,https://irwin.doi.gov/observer/incidents/2026-WAWFS-260500
EONET_21597,"Flood in Russia, Ukraine 1104048",Floods,2026-07-22T20:00:00Z,,,https://www.gdacs.org/report.aspx?eventtype=FL&eventid=1104048
EONET_21643,Flood in Kazakhstan 1104049,Floods,2026-07-22T20:00:00Z,,,https://www.gdacs.org/report.aspx?eventtype=FL&eventid=1104049
EONET_21577,"Wildfire Gypsum Creek, King, Texas",Wildfires,2026-07-22T19:04:00Z,-100.0410599,33.46780108,https://irwin.doi.gov/observer/incidents/2026-TXTXS-266131
EONET_21575,"Wildfire West Blue Crab, Cameron, Louisiana",Wildfires,2026-07-22T19:02:00Z,-93.42765,29.880643,https://irwin.doi.gov/observer/incidents/2026-LASBR-000235
EONET_21601,Wildfire in Australia 1029639,Wildfires,2026-07-22T19:00:00Z,126.6599721421,-21.480251727498,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029639
EONET_21602,Wildfire in Brazil 1029674,Wildfires,2026-07-22T19:00:00Z,-50.384826637616,-11.929846977494,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029674
EONET_21603,Wildfire in The Democratic Republic of Congo 1029640,Wildfires,2026-07-22T19:00:00Z,19.773482330466,-6.0579308558385,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029640
EONET_21648,Wildfire in Angola 1029684,Wildfires,2026-07-22T19:00:00Z,20.32721228615,-8.4540013369704,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029684
EONET_21649,Wildfire in Zambia 1029685,Wildfires,2026-07-22T19:00:00Z,22.521471305633,-14.329728172755,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029685
EONET_21650,Wildfire in Tanzania 1029688,Wildfires,2026-07-22T19:00:00Z,33.925280521105,-7.1876068557347,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029688
EONET_21651,Wildfire in Namibia 1029682,Wildfires,2026-07-22T19:00:00Z,15.553070709715,-20.635515605509,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029682
EONET_21652,Wildfire in Botswana 1029683,Wildfires,2026-07-22T19:00:00Z,24.188426314494,-23.649072787959,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029683
EONET_21653,Wildfire in Spain 1029686,Wildfires,2026-07-22T19:00:00Z,-4.3100960323957,40.355094848904,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029686
EONET_21654,Wildfire in Angola 1029687,Wildfires,2026-07-22T19:00:00Z,19.949923738574,-8.4171503967573,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029687
EONET_21655,Wildfire in Australia 1029713,Wildfires,2026-07-22T19:00:00Z,138.4811340954,-17.670209030895,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029713
